"link","showname","seasons","episodes","rating","poster"
"https://seriesgraph.com/show/118956-dota-dragons-blood","DOTA: Dragon's Blood","3","8","7.7","https://image.tmdb.org/t/p/w400/s1wP1YeQS9fgSHiXZ3yJb2ufB2D.jpg"
"https://seriesgraph.com/show/236994-dragon-ball-daima","Dragon Ball DAIMA","","20","7.8","https://image.tmdb.org/t/p/w400/8tpLyWAmYhe1D0d62gV3CWFDu2f.jpg"
"https://seriesgraph.com/show/62715-dragon-ball-super","Dragon Ball Super","","131","8.3","https://image.tmdb.org/t/p/w400/qEUrbXJ2qt4Rg84Btlx4STOhgte.jpg"
"https://seriesgraph.com/show/61709-dragon-ball-z-kai","Dragon Ball Z Kai","2","98","8.3","https://image.tmdb.org/t/p/w400/ykl67ghR2ug6KGFH3CQcI01pzQJ.jpg"
"https://seriesgraph.com/show/4336-drawn-together","Drawn Together","3","15","7.1","https://image.tmdb.org/t/p/w400/xhshQ2WgAa5zyXqwRcxKMDwRBGd.jpg"
"https://seriesgraph.com/show/44305-dreamworks-dragons","DreamWorks Dragons","2","20","7.9","https://image.tmdb.org/t/p/w400/gFhBIF8oXjpdVk1NbI4kP4l8LAe.jpg"
"https://seriesgraph.com/show/90228-dune-prophecy","Dune: Prophecy","2","8","7.3","https://image.tmdb.org/t/p/w400/oWVohNsxkxA3u92EzRo8fTuXIS0.jpg"
"https://seriesgraph.com/show/8624-eastbound-down","Eastbound & Down","4","8","8.2","https://image.tmdb.org/t/p/w400/grAnpm6mv6aipoGeS0yS6RuTZSG.jpg"
"https://seriesgraph.com/show/122226-echo","Echo","1","5","5.9","https://image.tmdb.org/t/p/w400/vFyJH630cF68LohVYjQW49074Sy.jpg"
"https://seriesgraph.com/show/606-ed-edd-n-eddy","Ed, Edd n Eddy","6","23","7.4","https://image.tmdb.org/t/p/w400/nfKenwmfmdtoXGhaYiDIftrBchw.jpg"
"https://seriesgraph.com/show/31268-el-capo","El Capo","4","90","7.2","https://image.tmdb.org/t/p/w400/hTwfFidPtRU3BUH8mK90jWyPyBr.jpg"
"https://seriesgraph.com/show/71411-el-chapo","El Chapo","3","13","7.8","https://image.tmdb.org/t/p/w400/3FzlvQ5Ea35Zdz71Ye7JSvB6VdB.jpg"
